,01,02,03,08,11,12,13,14,15,16,18,21,22,23,25,26,27,28,29,31,32,33,34,35,38,41,42,43,48,49,51,52,53,54,55,56,57,58,59,61,62,63,64,68,71,72,73,74,75,76,77,78,79,81,82,83,84,85,86,87,88,89,91,92,93,94,95,96,97,99,canton
1990,63.8524,19269.83967,,,2727.89099,29.0,,12428.5098,5313.2502,8341.78185,,59467.81675,843.532,8717.7979,,,6.1027,,,24.5,98.34605,35.28825,6297.25585,,,151658.60343,483.50955,1199.7062,,350.882,132.83335,,7905.42581,234.97885,41.15,5.0,9619.10405,,,18026.15015,2393.3933,,,,6311.91405,28408.17265,17069.34495,34949.5513,135.7419,,564.9923,,3725.64735,3757.87865,96175.7906,20.104,1321.38395,795.36515,,16741.62396,,1548.06155,406719.46465,,14736.2747,,108.27215,41454.76635,,,gr
1991,55.216,19669.63749,,,2925.39924,420.24125,,18458.501,6047.28282,9267.44455,,60104.23595,664.51465,9730.28335,,,5.85265,,,23.8625,1309.32415,35.8155,7257.1774,,,179431.57609,479.72755,1825.2521,,131.875,142.1569,,9724.7719,146.56045,45.15,11.978,10708.69245,,,17688.4242,2961.94865,,,,5191.93855,31086.5599,18847.20505,23039.7142,434.2939,,881.11575,,4171.35055,2991.72945,72511.98175,19.31,1596.928,1434.8887,,19540.35885,,1541.5933,398383.00034,,15826.25065,,510.65575,44373.52635,,,gr
1992,102.06705,23875.92384,,,3036.9445,547.683,,19207.5058,7006.2116,10964.83435,,47886.58145,705.17425,11103.3534,,1700.0,4.99005,,,35.6725,1790.61725,687.51825,9619.5149,,,174513.89794,492.90175,1737.22585,,146.1202,134.4382,,10136.3462,163.158,47.7,14.99,11865.88601,,,21154.9131,3994.09075,,,,8824.48524,40219.3032,17988.6215,18930.2674,309.9746,,881.47425,,5591.79885,3654.8037,68090.11585,32.318,2503.4692,1682.83285,,38747.4159,,2026.74935,424168.0,,19392.432,,653.468,48938.6137,,,gr
1993,89.20805,23822.78145,,,3390.00878,516.2538,,19893.36515,8049.36541,7098.26123,,51559.18105,887.1067,13802.84965,,4650.0,4.76515,,,45.0035,2552.58325,524.26035,10287.77685,,,187136.27145,722.05325,1886.9541,,148.4564,147.89645,,10456.2043,177.0627,61.948,,14500.75674,,2.12,21900.54165,4362.10755,,,,9747.1141,34368.1969,20171.72353,21439.33225,698.7063,,1033.0322,,6139.3684,3203.98565,75658.83215,38.287,2521.86405,1881.7526,,41919.07509,,2225.8551,429486.0,,22486.584,,524.09505,57944.15593,,,gr
1994,103.18635,27569.7331,,,4413.76232,598.88645,,25098.735,10620.2315,9094.2106,,53431.1111,1682.33655,8966.1143,,,5.90305,,,71.334,2485.91435,35.3156,12569.23245,,,199192.34782,951.0366,2364.4255,,125.75,167.1608,,11751.26175,182.63665,138.83,,21590.95035,,,26110.4547,4097.25209,,,,8171.6136,31871.6104,22185.95295,20571.69755,107.6505,,1484.98045,,5962.3735,2703.65885,62732.17495,61.457,2411.92695,2184.62365,,42707.80672,,3390.53495,463939.0,,22304.569,,534.857,64016.50505,,,gr
1995,239.7492,28932.97785,,,3118.79646,913.78627,,14977.33801,7553.67554,8307.7943,,63494.58385,1202.9955,9567.9547,32.31,,27.9935,,,40.92175,2855.9307,1039.9507,12370.36096,,,189151.60969,1129.5067,1870.2205,,177.2667,102.9709,,10959.46575,187.717,36.0,3.226,18813.76965,,,21568.68112,5124.10145,,,,7155.48535,37437.36134,21244.51245,15489.69,290.6425,,1233.3297,,6039.62435,3596.09205,63189.47011,67.3314,2501.9003,2075.37045,,40198.18286,,2192.55255,474861.39442,,22820.118,,540.5095,48081.36887,,,gr
1996,154.5519,27317.34605,,,2842.64161,992.03144,,16378.00718,8184.053,5353.61705,,60071.8362,1586.6739,14893.42905,34.65,,46.3965,,,39.85,3045.1462,303.2574,10429.48591,1.5951,,190395.9436,879.5156,1776.4637,,163.0731,90.5764,,12184.98008,181.90165,36.18,3.242,18716.85342,,0.5,26820.19241,2573.1182,,,,4397.19285,40561.68231,22056.6367,16454.8354,1682.292,,1160.023,,6935.24815,3562.07665,57279.37117,63.829,2465.84005,2052.4918,,37671.58068,,2548.51195,507508.43437,,21140.61855,,537.34675,46913.50102,,,gr
1997,288.29535,27303.95421,,,3400.25286,825.35785,,18112.90214,7699.18484,6144.6792,,66295.6343,1403.242,14768.21125,37.855,,335.144,,,62.65285,2116.27142,176.67975,8851.24062,,,199592.43953,897.0446,1264.6343,,100.4666,81.20555,,12714.85221,187.3623,35.125,3.245,20847.10887,,0.86705,23575.73223,2096.57375,,,,5949.821,40885.53667,19094.58264,15695.12175,1151.538,,1115.1566,,6564.32675,2723.65315,60021.86577,59.267,1987.27195,2870.2479,,53992.2616,,2771.29795,498046.00519,,19005.3518,,549.14045,48787.59538,,,gr
1998,205.6478,27195.38183,,,3046.45708,835.38417,,21359.62162,9759.75859,5553.60271,,63637.4509,1621.77995,14927.82395,273.928,0.75,,,5.98,161.7044,2215.1448,1024.40241,9975.21637,14.1454,,199306.93792,516.92205,1590.5758,,34.1835,277.7192,,13929.9997,190.2794,47.8822,20.657,19463.1991,,6.23945,35124.04697,2388.34385,,67.6608,,29264.572,57200.22561,24201.12674,15929.54755,1462.16975,,1529.81345,,6447.28215,4106.9375,75474.96127,151.36115,2282.348,3481.66585,,114838.87641,,8554.44114,480056.6888,,19429.15195,,573.1446,43625.24438,,,gr
